id,slug,name,skill,wealth_multiplier,summary,description,feature_name,feature_description,notes
a2c07e83-1bf3-4c42-8104-1c7110ad55e6,apprenti-a-l-etranger,Apprenti à l’étranger,linguistique,8,"Le personnage a été éduqué à l’étranger, apprenant une nouvelle langue et développant une ouverture aux cultures différentes de la sienne.","L’éducation du personnage a été effectuée à l’étranger, dans une région différente de sa terre natale.\n\nIl y a appris une nouvelle langue ainsi que l’importance de s’ouvrir aux autres cultures différentes de la sienne.",🚧,🚧,🚧
02d3e495-4b9b-4048-ba75-6238f27571b7,apprenti-d-un-maitre,Apprenti d’un maître,discipline,12,"Formé par un maître, le personnage a appris les subtilités d’un art ou d’une profession dans la discipline, en vue de devenir lui-même un expert.","Le personnage a tout appris d’un maître partageant un art ou une profession avec lui.\n\nCe maître lui a enseigné les subtilités qui permettront au personnage d’être éventuellement reconnu comme un maître lui aussi.\n\nCet apprentissage a été effectué dans l’ordre et la discipline, sous la direction du maître.",🚧,🚧,🚧
35580011-c284-4246-985a-cba217aa9758,champs-de-bataille,Champs de bataille,resistance,4,"Marqué par un conflit, le personnage a survécu à la guerre dès l’enfance. Son passé difficile l’a forgé en une personne dure, pragmatique et résiliente.","Le personnage est un enfant de la guerre, un fugitif d’un conflit ayant affecté les civils.\n\nSon enfance est maigre de moments heureux et aisés, ce a fait de lui une personne endurcie dotée d’une personnalité pragmatique.",🚧,🚧,🚧
1727b658-f00f-486a-8a2d-428c80d4493e,classique,Classique,connaissance,12,"Formé selon une éducation traditionnelle stricte, le personnage possède un savoir étendu qui compense son manque d’expérience sur le terrain.","Peu peuvent se vanter d’avoir reçu une éducation traditionnelle comme celle du personnage.\n\nIl a suivi un parcours scolaire conforme et sans dérogation ayant mené à une instruction de haute qualité.\n\nMalgré son manque d’expériences personnelles, son grand savoir lui permet de se débrouiller même dans les situations les plus difficiles.",🚧,🚧,🚧
4ccfc662-8ae1-49fa-a166-4d55431f9685,dans-la-rue,Dans la rue,acrobaties,4,"Élevé dans la rue ou par des marginaux, le personnage a développé une agilité remarquable pour survivre grâce à ses prouesses physiques.","Élevé dans la rue, le personnage est peut-être issu d’une famille de sans-abris.\n\nIl peut également avoir été élevé par d’autres clochards, n’ayant jamais connu ses parents.\n\nRecruté par un cirque ambulant ou esquivant les situations malencontreuses par ses prouesses physiques, ses mouvements sont prompts et souples.",🚧,🚧,🚧
e0abcba6-4e58-4db1-ba7b-83c856cbfc0c,entreprise-familiale,Entreprise familiale,intuition,10,"Élevé au sein de l’activité familiale, le personnage a appris à collaborer dès l’enfance et à suivre son intuition malgré un bagage scolaire limité.","Depuis sa tendre enfance, le personnage participe à l’activité principale de sa famille.\n\nPeu instruit, il a cependant développé une bonne intuition lui permettant de mener à bien ses tâches.\n\nPar la division du travail et la coopération avec sa fratrie, il a appris à collaborer et à partager.",🚧,🚧,🚧
f6a2e70d-b89a-48a8-b88f-9046508d4f10,judicieux,Judicieux,orientation,10,"Le personnage fait preuve d’un jugement exceptionnel, sait trier l’information pertinente et prend des décisions éclairées au moment opportun.","Peu importe le mode de vie dans lequel il a été élevé, le personnage prend des décisions sensées et éclairées au moment opportun.\n\nIl saisit les opportunités et on lui demande souvent conseil.\n\nIl sait mettre en exécution des plans complexes et trier les informations pertinentes.",🚧,🚧,🚧
d02097e9-0dd3-4f56-97d1-b17823200df6,mentor-venerable,Mentor vénérable,perception,8,"Élevé par un sage, le personnage a développé un esprit serein et attentif, apprenant à observer le monde avec calme et à raisonner avec lucidité.","Le personnage a été confié à un vieux sage, par exemple ses grands-parents ou aux moines d’un sanctuaire.\n\nIl aura développé un tempérament serein pendant son enfance.\n\nSon mentor lui aura également enseigné à prendre le temps d’observer son environnement et à porter attention aux détails afin de poser des conclusions rationnelles.",🚧,🚧,🚧
d4ff928d-c525-4e76-b328-e44d61e72a47,rebelle,Rebelle,tromperie,6,"Le personnage a grandi en secret et en ruse, contournant l’autorité parentale par le mensonge pour mener ses propres expériences.","Malgré les efforts de ses parents à tenter d’élever un enfant calme et discipliné, le personnage désirait voler de ses propres ailes et faire ses expériences.\n\nIl a pu se soustraire à la surveillance de ses parents en camouflant ses méfaits par le mensonge, dupant ses parents ou les adultes qui l’ont pris la main dans le sac.",🚧,🚧,🚧
a261a7a1-30b9-4630-9328-6ab2afc92501,sous-contrainte,Sous contrainte,furtivite,6,"Elevé dans une famille stricte, le personnage a appris à obéir en surface tout en menant une double vie habilement dissimulée.","Le personnage a vécu sous une supervision étroite au sein d’une famille stricte.\n\nIl s’est conformé aux demandes de ses parents et a coopéré lorsqu’il le jugeait nécessaire.\n\nIl a appris à dissimuler ses erreurs et fautes de parcours, et mène une double-vie dont ses parents n’en savent rien.",🚧,🚧,🚧
